"门店名称","门店编号","sku货号","商品名称","商品条码","销售数量","销售金额","实收金额","总优惠金额","优惠券优惠金额","促销优惠金额","箱优惠金额","单品改价金额","订单改价金额"
"济南万科城店","3010101","10271010","佳宝全脂纯牛奶1L","6920810102449","10.000","59.000","41.00","18.00","18.00","0.00","0.00","0.00","0.00"
"济南中建新悦城店","3010414","10271010","佳宝全脂纯牛奶1L","6920810102449","3.000","17.700","15.70","2.00","2.00","0.00","0.00","0.00","0.00"
"济南中海云著店","3010406","10271010","佳宝全脂纯牛奶1L","6920810102449","1.000","5.900","5.90","0.00","0.00","0.00","0.00","0.00","0.00"
"济南中海山湖壹号店","3010405","10271010","佳宝全脂纯牛奶1L","6920810102449","3.000","17.700","17.70","0.00","0.00","0.00","0.00","0.00","0.00"
"济南仁华居店","3010404","10271010","佳宝全脂纯牛奶1L","6920810102449","6.000","35.400","33.40","2.00","2.00","0.00","0.00","0.00","0.00"
"济南保利和塘悦色店","3010409","10271010","佳宝全脂纯牛奶1L","6920810102449","10.000","59.000","49.00","10.00","10.00","0.00","0.00","0.00","0.00"
"济南北徐花园店","3010415","10271010","佳宝全脂纯牛奶1L","6920810102449","1.000","5.900","5.90","0.00","0.00","0.00","0.00","0.00","0.00"
"济南城市之星店","3010801","10271010","佳宝全脂纯牛奶1L","6920810102449","18.000","106.200","88.20","18.00","18.00","0.00","0.00","0.00","0.00"
"济南城投伴山居店","3010102","10271010","佳宝全脂纯牛奶1L","6920810102449","6.000","35.400","35.40","0.00","0.00","0.00","0.00","0.00","0.00"
"济南天鸿万卷府店","3010408","10271010","佳宝全脂纯牛奶1L","6920810102449","7.000","41.300","37.30","4.00","4.00","0.00","0.00","0.00","0.00"
"济南天鸿万象东方店","3010413","10271010","佳宝全脂纯牛奶1L","6920810102449","3.000","17.700","15.70","2.00","2.00","0.00","0.00","0.00","0.00"
"济南御山首府店","3010411","10271010","佳宝全脂纯牛奶1L","6920810102449","2.000","11.800","11.80","0.00","0.00","0.00","0.00","0.00","0.00"
"济南文贤居店","3010202","10271010","佳宝全脂纯牛奶1L","6920810102449","69.000","407.100","299.10","108.00","108.00","0.00","0.00","0.00","0.00"
"济南梁王新城","3010403","10271010","佳宝全脂纯牛奶1L","6920810102449","1.000","5.900","5.90","0.00","0.00","0.00","0.00","0.00","0.00"
"济南海信九麓府店","3010301","10271010","佳宝全脂纯牛奶1L","6920810102449","19.000","112.100","90.10","22.00","22.00","0.00","0.00","0.00","0.00"
"济南白马南路店","3010201","10271010","佳宝全脂纯牛奶1L","6920810102449","2.000","11.800","11.80","0.00","0.00","0.00","0.00","0.00","0.00"
"济南祥泰城店","3010410","10271010","佳宝全脂纯牛奶1L","6920810102449","4.000","23.600","21.60","2.00","2.00","0.00","0.00","0.00","0.00"
"济南绿地国际花都店","3010501","10271010","佳宝全脂纯牛奶1L","6920810102449","18.000","106.200","88.20","18.00","18.00","0.00","0.00","0.00","0.00"
"济南香溢澜庭店","3010407","10271010","佳宝全脂纯牛奶1L","6920810102449","6.000","35.400","29.40","6.00","6.00","0.00","0.00","0.00","0.00"
"济南鲁建小区店","3010502","10271010","佳宝全脂纯牛奶1L","6920810102449","8.000","47.200","43.20","4.00","4.00","0.00","0.00","0.00","0.00"
